id,condiciones_clima,temperatura,temp_rocio,humedad,vel_viento,dir_viento,visibilidad,presion,precipitacion,niebla,lluvia,nieve
5677,despejado,12.8,-2.8,34.0,0.0,0,16.1,29.9,,No,No,No
5269,despejado,16.7,-6.7,20.0,5.6,0,16.1,30.3,,No,No,No
7334,nublado,9.4,7.2,86.0,13.0,70,16.1,29.8,0.8,No,No,No
5794,nublado,16.7,14.4,86.0,0.0,0,14.5,30.1,,No,No,No
7913,nublado,2.2,-5.6,57.0,18.5,40,16.1,30.0,,No,No,No
4610,nublado,10.6,2.8,59.0,5.6,0,16.1,29.8,0.0,No,No,No
380,nublado,6.1,3.9,86.0,29.6,70,9.7,29.9,0.3,No,No,No
1914,despejado,16.7,-8.3,18.0,5.6,0,16.1,30.0,,No,No,No
6783,bruma,19.4,16.7,84.0,0.0,0,8.0,30.1,,No,No,No
7317,despejado,7.8,-2.8,47.0,13.0,60,16.1,30.4,,No,No,No
3777,despejado,21.1,7.8,42.0,9.3,0,16.1,30.0,,No,No,No
5657,nublado,10.6,5.6,71.0,0.0,0,16.1,29.5,,No,No,No
5844,nubes dispersas,24.4,18.9,71.0,11.1,0,14.5,29.9,,No,No,No
2501,despejado,27.8,13.3,41.0,7.4,0,14.5,29.7,,No,No,No
4829,llovizna,11.1,9.4,89.0,9.3,100,4.8,29.7,1.0,No,Si,No
2842,despejado,15.0,7.2,60.0,0.0,0,16.1,29.9,,No,No,No
6488,despejado,13.9,5.0,55.0,0.0,0,16.1,30.2,,No,No,No
1873,despejado,21.7,15.0,66.0,5.6,0,16.1,30.1,,No,No,No
2960,parcialmente nublado,-2.2,-13.3,43.0,7.4,0,16.1,30.0,,No,No,No
2985,despejado,18.9,-7.2,17.0,13.0,310,16.1,30.0,,No,No,No
4933,despejado,-1.7,-15.6,35.0,0.0,0,16.1,30.2,,No,No,No
730,llovizna,17.2,14.4,84.0,13.0,90,4.8,30.1,0.0,No,Si,No
695,nubes dispersas,17.2,7.8,54.0,9.3,10,16.1,29.9,,No,No,No
2905,despejado,6.1,-6.7,40.0,9.3,0,16.1,29.8,,No,No,No
1831,despejado,7.2,-14.4,20.0,7.4,10,16.1,30.1,,No,No,No
1376,nublado,9.4,3.3,66.0,13.0,60,16.1,30.2,,No,No,No
3863,parcialmente nublado,26.7,17.2,56.0,5.6,170,11.3,30.0,,No,No,No
5567,despejado,3.9,-5.6,50.0,13.0,290,16.1,29.9,,No,No,No
2255,despejado,23.9,3.3,26.0,5.6,70,16.1,30.2,,No,No,No
5050,bruma,12.8,10.0,83.0,9.3,0,8.0,29.7,,No,No,No
1975,lluvia,20.6,19.4,93.0,5.6,0,2.4,29.9,1.8,No,Si,No
1235,nublado,9.4,2.2,61.0,0.0,0,16.1,30.1,,No,No,No
1468,parcialmente nublado,12.2,3.9,57.0,,0,16.1,30.1,,No,No,No
8101,nieve,-2.8,-5.6,81.0,11.1,70,0.8,30.4,0.3,No,No,Si
6516,nublado,20.6,19.4,93.0,7.4,0,4.0,29.7,,No,No,No
2487,llovizna,9.4,2.2,61.0,9.3,30,14.5,30.0,0.0,No,Si,No
3032,despejado,12.8,-2.8,34.0,0.0,0,16.1,29.9,,No,No,No
1723,despejado,28.3,13.3,39.0,5.6,0,14.5,30.1,,No,No,No
1826,lluvia,18.9,17.8,93.0,5.6,0,1.6,29.7,1.3,No,Si,No
4336,despejado,21.7,5.0,34.0,13.0,50,16.1,30.0,,No,No,No
4653,desconocido,16.0,12.0,77.0,,0,,,,No,No,No
6674,despejado,18.9,5.0,40.0,5.6,0,16.1,30.1,,No,No,No
1519,despejado,14.4,11.1,81.0,0.0,0,11.3,29.9,,No,No,No
2723,principalmente_nublado,22.2,17.2,73.0,20.4,70,14.5,30.1,,No,No,No
5805,nublado,12.2,6.1,66.0,13.0,80,16.1,29.7,,No,No,No
2458,nublado,13.3,2.8,49.0,11.1,0,16.1,30.2,,No,No,No
3665,despejado,10.6,-6.1,31.0,18.5,290,16.1,29.8,,No,No,No
7396,llovizna,5.0,2.8,86.0,20.4,60,4.0,30.1,0.8,No,Si,No
5291,nublado,13.3,5.6,60.0,13.0,40,16.1,29.6,,No,No,No
5486,nublado,17.2,14.4,84.0,0.0,0,12.9,30.1,,No,No,No
4300,bruma,28.9,17.2,49.0,5.6,0,9.7,30.1,,No,No,No
4431,despejado,7.8,-3.3,46.0,11.1,0,16.1,30.4,,No,No,No
877,lluvia congelante ligera,0.6,-1.1,89.0,7.4,70,4.0,30.2,0.0,No,Si,No
3916,llovizna,5.6,3.9,89.0,18.5,90,4.8,29.8,0.5,No,Si,No
1052,despejado,4.4,-1.7,65.0,5.6,0,16.1,30.1,,No,No,No
5999,llovizna,13.3,11.7,90.0,9.3,150,4.8,30.0,0.3,No,Si,No
3883,nublado,9.4,3.9,69.0,9.3,0,14.5,30.0,,No,No,No
6711,despejado,11.7,-2.8,37.0,9.3,0,16.1,30.2,,No,No,No
2596,nublado,1.1,-7.2,54.0,11.1,0,16.1,29.8,,No,No,No
5233,nublado,8.3,6.7,90.0,9.3,330,4.8,29.6,,No,No,No
2118,nublado,6.7,-1.7,55.0,,0,16.1,29.9,,No,No,No
2761,despejado,3.3,-7.8,45.0,16.7,360,16.1,30.0,,No,No,No
4258,despejado,5.0,-17.2,19.0,7.4,0,16.1,30.3,,No,No,No
3441,llovizna,6.1,3.3,82.0,7.4,30,6.4,29.8,0.5,No,Si,No
549,llovizna,11.1,8.9,86.0,,0,4.8,29.8,0.0,No,Si,No
6535,nublado,4.4,2.2,86.0,27.8,70,8.0,30.1,0.3,No,No,No
75,despejado,18.9,10.0,56.0,5.6,0,16.1,29.8,,No,No,No
185,despejado,2.8,-6.1,52.0,11.1,0,16.1,30.3,,No,No,No
8393,nieve ligera,-2.8,-10.6,56.0,11.1,0,4.8,30.1,0.0,No,No,Si
2351,despejado,11.1,1.1,50.0,13.0,240,16.1,29.8,,No,No,No
3398,principalmente_nublado,7.8,4.4,79.0,13.0,60,16.1,29.6,0.0,No,No,No
3570,parcialmente nublado,26.1,16.7,56.0,14.8,170,11.3,30.0,,No,No,No
1539,parcialmente nublado,2.2,-5.0,59.0,7.4,0,16.1,29.9,,No,No,No
4934,parcialmente nublado,2.8,-2.2,70.0,5.6,0,16.1,29.8,,No,No,No
1310,despejado,22.8,15.6,64.0,9.3,0,14.5,30.1,,No,No,No
